Errors log for ligand_PO4
                Error in graph_extraction for 3JXJ:                 
                Error in graph_extraction for 2JE2:                 
                Error in graph_extraction for 5KQR:                 
                Error in graph_extraction for 2FB1:                 
                Error in graph_extraction for 5GZK:                 
                Error in graph_extraction for 1UAM:                 
                Error in graph_extraction for 1LQO:                 
                Error in graph_extraction for 3FKK:                 
                Error in graph_extraction for 2HO4:                 
                Error in graph_extraction for 4DG6:                 
                Error in graph_extraction for 3AHF:                 
                Error in graph_extraction for 2IZU:                 
                Error in graph_extraction for 1S56:                 
                Error in graph_extraction for 1YB0:                 
                Error in graph_extraction for 4W8X:                 
                Error in graph_extraction for 2CQT:                 
                Error in graph_extraction for 2VL7:                 
                Error in graph_extraction for 2J6V:                 
                Error in graph_extraction for 3ZPE:                 
                Error in graph_extraction for 5HQN:                 
                Error in graph_extraction for 3QY7:                 
                Error in graph_extraction for 3KDW:                 
                Error in graph_extraction for 3Q9F:                 
                Error in graph_extraction for 3EOZ:                 
                Error in graph_extraction for 3TIO:                 
                Error in graph_extraction for 5KN7:                 
                Error in graph_extraction for 1NTV:                 
                Error in graph_extraction for 1NEL:                 
                Error in graph_extraction for 5FP1:                 
                Error in graph_extraction for 1WP9:                 
                Error in graph_extraction for 3GP9:                 
                Error in graph_extraction for 1NRW:                 
                Error in graph_extraction for 1H7B:                 
                Error in graph_extraction for 3MOZ:                 
                Error in graph_extraction for 3HOP:                 
                Error in graph_extraction for 4IJG:                 
                Error in graph_extraction for 5WAS:                 
                Error in graph_extraction for 2PQ7:                 
                Error in graph_extraction for 3SL4:                 
                Error in graph_extraction for 3WIR:                 
                Error in graph_extraction for 4PXA:                 
                Error in graph_extraction for 1NEP:                 
                Error in graph_extraction for 3HY6:                 
                Error in graph_extraction for 4WN0:                 
                Error in graph_extraction for 2B7F:                 
                Error in graph_extraction for 2XR9:                 
                Error in graph_extraction for 3K6E:                 
                Error in graph_extraction for 3A9L:                 
                Error in graph_extraction for 3HQD:                 
                Error in graph_extraction for 3CBU:                 
                Error in graph_extraction for 2B8J:                 
                Error in graph_extraction for 2CCL:                 
                Error in graph_extraction for 2WNW:                 
                Error in graph_extraction for 5TB7:                 
                Error in graph_extraction for 2QDP:                 
                Error in graph_extraction for 5LJL:                 
                Error in graph_extraction for 1NY5:                 
                Error in graph_extraction for 3LTE:                 
                Error in graph_extraction for 3HQ2:                 
                Error in graph_extraction for 3RPQ:                 
                Error in graph_extraction for 2X1B:                 
                Error in graph_extraction for 1O2B:                 
                Error in graph_extraction for 3OZX:                 
                Error in graph_extraction for 1GPW:                 
                Error in graph_extraction for 5M7H:                 
                Error in graph_extraction for 2QNK:                 
                Error in graph_extraction for 3RJY:                 
                Error in graph_extraction for 2FTX:                 
                Error in graph_extraction for 4QDF:                 
                Error in graph_extraction for 2O5P:                 
                Error in graph_extraction for 1EU3:                 
                Error in graph_extraction for 4BFT:                 
                Error in graph_extraction for 1NQU:                 
                Error in graph_extraction for 4OC9:                 
                Error in graph_extraction for 5K8C:                 
                Error in graph_extraction for 2CHP:                 
                Error in graph_extraction for 2O4V:                 
                Error in graph_extraction for 4PIC:                 
                Error in graph_extraction for 1Y6O:                 
                Error in graph_extraction for 2WM3:                 
                Error in graph_extraction for 5KD5:                 
                Error in graph_extraction for 5KDX:                 
                Error in graph_extraction for 2XYC:                 
                Error in graph_extraction for 2E5F:                 
                Error in graph_extraction for 3OYZ:                 
                Error in graph_extraction for 3I1I:                 
                Error in graph_extraction for 3I0Z:                 
                Error in graph_extraction for 5MSG:                 
                Error in graph_extraction for 2OCX:                 
                Error in graph_extraction for 3F2N:                 
                Error in graph_extraction for 3FGC:                 
                Error in graph_extraction for 2C91:                 
                Error in graph_extraction for 3L0C:                 
                Error in graph_extraction for 1M93:                 
                Error in graph_extraction for 1UFJ:                 
                Error in graph_extraction for 1JNW:                 
                Error in graph_extraction for 3TFM:                 
                Error in graph_extraction for 3GZH:                 
                Error in graph_extraction for 1JLR:                 
                Error in graph_extraction for 4YB7:                 
                Error in graph_extraction for 3AUJ:                 
                Error in graph_extraction for 3GM6:                 
                Error in graph_extraction for 4HCC:                 
                Error in graph_extraction for 2J9R:                 
                Error in graph_extraction for 3ZDA:                 
                Error in graph_extraction for 4RZZ:                 
                Error in graph_extraction for 5HAX:                 
                Error in graph_extraction for 1S2J:                 
                Error in graph_extraction for 3H41:                 
                Error in graph_extraction for 3H2X:                 
